series,year,percent_children_working
England,1851,28.25
England,1861,28.55
England,1871,26.3
England,1881,19.0
England,1891,21.15
England,1901,16.95
England,1911,14.35
Italy,1881,64.3
Italy,1901,49.9
Italy,1911,44.8
Italy,1921,31.5
Italy,1931,27.4
Italy,1936,32.1
Italy,1951,10.0
Italy,1961,3.6
United States,1890,11.659649
United States,1900,12.026154
United States,1910,6.5555553
United States,1920,4.365116
United States,1930,2.4628866
"World, ILO-EPEAP",1950,27.57
"World, ILO-EPEAP",1960,24.81
"World, ILO-EPEAP",1970,22.3
"World, ILO-EPEAP",1980,19.91
"World, ILO-EPEAP",1990,14.65
"World, ILO-EPEAP",1995,13.02
"World, ILO-IPEC",2000,16.0
"World, ILO-IPEC",2004,14.2
"World, ILO-IPEC",2008,13.6
"World, ILO-IPEC",2012,10.6
