Entity,Code,Year,warheads
Russia,RUS,1945,0
Russia,RUS,1946,0
Russia,RUS,1947,0
Russia,RUS,1948,0
Russia,RUS,1949,1
Russia,RUS,1950,5
Russia,RUS,1951,25
Russia,RUS,1952,50
Russia,RUS,1953,120
Russia,RUS,1954,150
Russia,RUS,1955,200
Russia,RUS,1956,426
Russia,RUS,1957,660
Russia,RUS,1958,863
Russia,RUS,1959,1048
Russia,RUS,1960,1627
Russia,RUS,1961,2492
Russia,RUS,1962,3346
Russia,RUS,1963,4259
Russia,RUS,1964,5242
Russia,RUS,1965,6144
Russia,RUS,1966,7091
Russia,RUS,1967,8400
Russia,RUS,1968,9490
Russia,RUS,1969,10671
Russia,RUS,1970,11736
Russia,RUS,1971,13279
Russia,RUS,1972,14600
Russia,RUS,1973,15878
Russia,RUS,1974,17286
Russia,RUS,1975,19235
Russia,RUS,1976,22165
Russia,RUS,1977,24281
Russia,RUS,1978,26169
Russia,RUS,1979,28258
Russia,RUS,1980,30665
Russia,RUS,1981,32146
Russia,RUS,1982,33486
Russia,RUS,1983,35130
Russia,RUS,1984,36825
Russia,RUS,1985,38582
Russia,RUS,1986,40159
Russia,RUS,1987,38107
Russia,RUS,1988,36538
Russia,RUS,1989,35078
Russia,RUS,1990,32980
Russia,RUS,1991,29154
Russia,RUS,1992,26734
Russia,RUS,1993,24403
Russia,RUS,1994,21339
Russia,RUS,1995,18179
Russia,RUS,1996,15942
Russia,RUS,1997,15442
Russia,RUS,1998,14368
Russia,RUS,1999,13188
Russia,RUS,2000,12188
Russia,RUS,2001,11152
Russia,RUS,2002,10114
Russia,RUS,2003,9076
Russia,RUS,2004,8038
Russia,RUS,2005,7000
Russia,RUS,2006,6643
Russia,RUS,2007,6286
Russia,RUS,2008,5929
Russia,RUS,2009,5527
Russia,RUS,2010,5215
Russia,RUS,2011,4858
Russia,RUS,2012,4750
Russia,RUS,2013,4650
Russia,RUS,2014,4600
Russia,RUS,2015,4500
Russia,RUS,2016,4490
Russia,RUS,2017,4300
Russia,RUS,2018,4350
Russia,RUS,2019,4330
Russia,RUS,2020,4310
Russia,RUS,2021,4495
Russia,RUS,2022,4477
Russia,RUS,2023,4489
Russia,RUS,2024,4380
Russia,RUS,2025,4309
Russia,RUS,2026,4400
United States,USA,1945,2
United States,USA,1946,9
United States,USA,1947,13
United States,USA,1948,50
United States,USA,1949,170
United States,USA,1950,299
United States,USA,1951,438
United States,USA,1952,841
United States,USA,1953,1169
United States,USA,1954,1703
United States,USA,1955,2422
United States,USA,1956,3692
United States,USA,1957,5543
United States,USA,1958,7345
United States,USA,1959,12298
United States,USA,1960,18638
United States,USA,1961,22229
United States,USA,1962,25540
United States,USA,1963,28133
United States,USA,1964,29463
United States,USA,1965,31139
United States,USA,1966,31175
United States,USA,1967,31255
United States,USA,1968,29561
United States,USA,1969,27552
United States,USA,1970,26008
United States,USA,1971,25830
United States,USA,1972,26516
United States,USA,1973,27835
United States,USA,1974,28537
United States,USA,1975,27519
United States,USA,1976,25914
United States,USA,1977,25542
United States,USA,1978,24418
United States,USA,1979,24138
United States,USA,1980,24104
United States,USA,1981,23208
United States,USA,1982,22886
United States,USA,1983,23305
United States,USA,1984,23459
United States,USA,1985,23368
United States,USA,1986,23317
United States,USA,1987,23575
United States,USA,1988,23205
United States,USA,1989,22217
United States,USA,1990,21392
United States,USA,1991,19008
United States,USA,1992,13708
United States,USA,1993,11511
United States,USA,1994,10979
United States,USA,1995,10904
United States,USA,1996,11011
United States,USA,1997,10903
United States,USA,1998,10732
United States,USA,1999,10685
United States,USA,2000,10577
United States,USA,2001,10526
United States,USA,2002,10457
United States,USA,2003,10027
United States,USA,2004,8570
United States,USA,2005,8360
United States,USA,2006,7853
